Game No.,Player 1,Player 2,Player 3
1,0.0,100.0,0.0
2,50.0,50.0,0.0
3,33.333336,66.66667,0.0
4,25.0,50.0,25.0
5,20.0,60.000004,20.0
6,16.666668,66.66667,16.666668
7,28.57143,57.14286,14.285715
8,25.0,62.5,12.5
9,33.333336,55.555557,11.111112
10,30.000002,60.000004,10.0
11,27.272728,63.636364,9.090909
12,33.333336,58.333332,8.333334
13,30.769232,61.538464,7.692308
14,35.714287,57.14286,7.1428576
15,33.333336,60.000004,6.666667
16,37.5,56.25,6.25
17,35.294117,58.823532,5.882353
18,38.88889,55.555557,5.555556
19,36.842106,57.894737,5.263158
20,40.0,55.0,5.0
21,42.857143,52.380955,4.7619047
22,40.909092,54.545456,4.5454545
23,43.47826,52.173912,4.347826
24,45.833336,50.0,4.166667
25,48.0,48.0,4.0
26,46.153847,46.153847,7.692308
27,48.148148,44.444447,7.4074073
28,50.0,42.857143,7.1428576
29,48.27586,44.827587,6.8965516
30,46.666668,43.333332,10.0
31,48.387096,41.935482,9.677419
32,46.875,40.625,12.5
33,45.454548,39.39394,15.151516
34,47.058823,38.235294,14.705883
35,45.714287,37.142857,17.142859
36,44.444447,38.88889,16.666668
37,43.243244,40.54054,16.216215
38,42.105263,42.105263,15.789473
39,41.025642,43.589745,15.384616
40,40.0,42.5,17.5
41,39.024387,43.90244,17.073172
42,38.095238,45.238094,16.666668
43,37.2093,46.51163,16.27907
44,36.363636,47.727272,15.909091
45,35.555557,46.666668,17.777779
46,34.782608,45.652176,19.565218
47,34.042553,44.68085,21.276596
48,33.333336,45.833336,20.833332
49,34.69388,44.897957,20.408163
50,36.0,44.0,20.0
51,35.294117,43.137257,21.568628
52,34.615387,44.230766,21.153847
53,33.962265,43.396225,22.64151
54,35.185184,42.592594,22.222223
55,34.545456,43.636364,21.818182
56,33.92857,42.857143,23.214285
57,35.08772,42.105263,22.807016
58,34.482758,43.103447,22.413794
59,33.898308,44.0678,22.0339
60,33.333336,43.333332,23.333334
61,34.42623,42.62295,22.950819
62,33.870968,41.935482,24.193548
63,33.333336,41.26984,25.396828
64,32.8125,40.625,26.5625
65,33.846153,40.0,26.153847
66,33.333336,40.909092,25.757576
67,32.83582,41.791046,25.373135
68,32.352943,41.17647,26.470589
69,33.333336,40.57971,26.086956
70,34.285717,40.0,25.714287
71,33.802814,40.84507,25.352112
72,33.333336,40.27778,26.38889
73,34.246574,39.72603,26.027397
74,33.783783,39.18919,27.027025
75,34.666668,38.666664,26.666668
76,34.210526,39.473686,26.31579
77,33.766235,40.25974,25.974026
78,33.333336,41.025642,25.641027
79,32.911392,40.50633,26.58228
80,32.5,40.0,27.5
81,33.333336,39.506172,27.160492
82,34.146343,39.024387,26.82927
83,33.73494,39.759037,26.506025
84,33.333336,40.476192,26.190477
85,32.941177,41.17647,25.882355
86,32.55814,41.860466,25.581396
87,33.333336,41.37931,25.287357
88,34.090908,40.909092,25.0
89,34.831463,40.449436,24.7191
90,34.444447,40.0,25.555557
91,34.065933,39.56044,26.373629
92,34.782608,39.130436,26.086956
93,35.48387,38.709675,25.80645
94,35.10638,39.361702,25.531916
95,35.789474,38.94737,25.263157
96,36.458336,38.541664,25.0
97,36.082474,39.17526,24.742268
98,35.714287,38.77551,25.510204
99,35.353535,39.39394,25.252523
100,35.0,39.0,26.0
101,34.653465,39.603962,25.742575
102,34.31373,40.19608,25.490198
103,33.98058,39.80583,26.213593
104,33.653847,40.384613,25.961538
105,33.333336,40.0,26.666668
106,33.018867,39.622643,27.35849
107,33.64486,39.25234,27.102804
108,33.333336,38.88889,27.777779
109,33.027523,39.449543,27.522936
110,33.636364,39.09091,27.272728
111,33.333336,39.63964,27.027025
112,33.035713,39.285713,27.67857
113,33.62832,38.938053,27.433628
114,33.333336,39.473686,27.192984
115,33.043476,39.130436,27.826086
116,32.75862,39.655174,27.586206
117,32.478634,39.31624,28.20513
118,33.050846,38.98305,27.966103
119,33.613445,38.655464,27.731094
120,33.333336,39.166668,27.5
121,33.05785,39.669422,27.272728
122,33.606556,39.34426,27.049181
123,34.146343,39.024387,26.82927
124,33.870968,38.709675,27.419355
125,34.4,38.4,27.2
126,34.126984,38.095238,27.777779
127,34.64567,37.795277,27.559053
128,34.375,38.28125,27.34375
129,34.10853,37.984497,27.906979
130,34.615387,37.692307,27.692308
131,35.114502,37.40458,27.480915
132,34.848484,37.878788,27.272728
133,35.338345,37.593987,27.06767
134,35.074627,38.059704,26.865673
135,35.555557,37.77778,26.666668
136,35.294117,38.235294,26.470589
137,35.766422,37.956203,26.277372
138,35.507248,38.405796,26.086956
139,35.2518,38.129498,26.618704
140,35.714287,37.857143,26.428572
141,35.460995,38.297874,26.241135
142,35.915493,38.028168,26.056337
143,36.363636,37.762238,25.874126
