Game No.,Player 1,Player 2,Player 3
168,32.738094,33.333336,33.92857
169,32.544376,33.72781,33.72781
170,32.352943,33.52941,34.11765
171,32.163742,33.333336,34.502922
172,31.976744,33.139534,34.88372
173,31.791908,32.947975,35.260117
174,31.609196,33.333336,35.05747
175,32.0,33.142857,34.857143
176,32.386364,32.954548,34.659092
177,32.203392,33.333336,34.463276
178,32.022472,33.14607,34.831463
179,32.402237,32.960896,34.63687
180,32.22222,33.333336,34.444447
181,32.0442,33.14917,34.80663
182,32.417583,32.967033,34.615387
183,32.24044,33.333336,34.42623
184,32.06522,33.152176,34.782608
185,31.891891,33.51351,34.594597
186,32.258064,33.333336,34.408604
187,32.62032,33.15508,34.224598
188,32.446808,32.97872,34.574467
189,32.804234,32.804234,34.391533
190,32.63158,32.63158,34.736843
191,32.460735,32.98429,34.554974
192,32.291664,33.333336,34.375
193,32.642487,33.16062,34.19689
194,32.474224,32.98969,34.536083
195,32.307693,32.820515,34.871796
196,32.142857,32.65306,35.204082
197,32.48731,32.48731,35.025383
198,32.828285,32.32323,34.848484
199,32.663315,32.160805,35.17588
200,33.0,32.0,35.0
