Game No.,Player 1,Player 2,Player 3
1,0.0,100.0,0.0
2,50.0,50.0,0.0
3,33.333336,66.66667,0.0
4,50.0,50.0,0.0
5,60.000004,40.0,0.0
6,50.0,33.333336,16.666668
7,57.14286,28.57143,14.285715
8,62.5,25.0,12.5
9,66.66667,22.222223,11.111112
10,60.000004,30.000002,10.0
11,63.636364,27.272728,9.090909
12,58.333332,33.333336,8.333334
13,61.538464,30.769232,7.692308
14,64.28571,28.57143,7.1428576
15,66.66667,26.666668,6.666667
16,62.5,31.25,6.25
17,58.823532,35.294117,5.882353
18,55.555557,38.88889,5.555556
19,52.63158,36.842106,10.526316
20,50.0,35.0,15.000001
21,47.61905,38.095238,14.285715
22,50.0,36.363636,13.636364
23,47.826088,39.130436,13.043478
24,45.833336,37.5,16.666668
25,44.0,40.0,16.0
26,46.153847,38.46154,15.384616
27,48.148148,37.037037,14.814815
28,46.42857,35.714287,17.857143
29,44.827587,37.931034,17.241379
30,43.333332,36.666668,20.0
31,45.16129,35.48387,19.354837
32,46.875,34.375,18.75
33,48.484848,33.333336,18.181818
34,50.0,32.352943,17.647058
35,51.428574,31.428572,17.142859
36,50.0,33.333336,16.666668
37,48.64865,35.135136,16.216215
38,47.368423,36.842106,15.789473
39,46.153847,35.897438,17.948719
40,45.0,37.5,17.5
41,43.90244,39.024387,17.073172
42,42.857143,38.095238,19.047619
43,41.860466,37.2093,20.930233
44,40.909092,36.363636,22.727274
45,40.0,37.77778,22.222223
46,39.130436,36.95652,23.913044
47,40.425533,36.17021,23.404255
48,41.666664,35.416664,22.916668
49,40.816326,34.69388,24.489796
50,40.0,34.0,26.0
51,39.215687,33.333336,27.450981
52,40.384613,32.692307,26.923079
53,39.622643,32.07547,28.301886
54,38.88889,31.48148,29.62963
55,40.0,30.909092,29.090908
56,39.285713,32.142857,28.57143
57,38.59649,31.578945,29.82456
58,37.931034,31.034481,31.034481
59,38.98305,30.508474,30.508474
60,40.0,30.000002,30.000002
61,39.34426,29.508198,31.14754
62,38.709675,30.645163,30.645163
63,39.68254,30.158731,30.158731
64,39.0625,29.6875,31.25
65,38.46154,30.769232,30.769232
66,37.878788,31.818182,30.303032
67,37.31343,32.83582,29.850746
68,38.235294,32.352943,29.411766
69,39.130436,31.88406,28.985506
70,38.57143,31.428572,30.000002
71,38.028168,30.985916,30.985916
72,38.88889,30.555555,30.555555
73,38.356163,31.506847,30.136988
74,37.837837,32.43243,29.72973
75,37.333332,33.333336,29.333332
76,38.157894,32.894737,28.947369
77,37.662334,33.766235,28.57143
78,37.17949,34.615387,28.20513
79,37.97468,34.177216,27.8481
80,37.5,33.75,28.75
81,38.271606,33.333336,28.395063
82,37.80488,32.92683,29.268291
83,37.349396,33.73494,28.91566
84,38.095238,33.333336,28.57143
85,38.82353,32.941177,28.235296
86,39.534885,32.55814,27.906979
87,40.229885,32.18391,27.586206
88,40.909092,31.818182,27.272728
89,40.449436,31.460676,28.089888
90,40.0,32.22222,27.777779
91,40.65934,31.868134,27.472528
92,40.217392,31.52174,28.260868
93,39.784946,31.182796,29.032257
94,39.361702,30.851063,29.787233
95,40.0,30.526316,29.473682
96,39.583336,31.25,29.166666
97,40.206184,30.927834,28.865978
98,39.795918,30.612246,29.591837
99,39.39394,30.303032,30.303032
100,40.0,30.000002,30.000002
101,39.603962,29.70297,30.69307
102,39.215687,29.411766,31.372551
103,38.83495,30.097088,31.06796
104,38.46154,30.769232,30.769232
105,38.095238,30.476192,31.428572
106,37.73585,31.132074,31.132074
107,37.38318,30.841122,31.775702
108,37.037037,31.48148,31.48148
109,36.697247,32.110092,31.192661
110,37.272728,31.818182,30.909092
111,36.936935,32.43243,30.63063
112,37.5,32.142857,30.357143
113,37.16814,32.743362,30.088497
114,37.7193,32.456142,29.82456
115,37.391304,32.173912,30.434782
116,37.068966,32.75862,30.172413
117,37.60684,32.478634,29.914532
118,37.288136,32.203392,30.508474
119,36.974792,31.932774,31.092438
120,36.666668,32.5,30.833334
121,36.363636,33.05785,30.578512
122,36.06557,33.606556,30.32787
123,36.585365,33.333336,30.081303
124,37.096775,33.064518,29.83871
125,37.6,32.8,29.6
126,37.30159,33.333336,29.36508
127,37.795277,33.070866,29.13386
128,37.5,33.59375,28.90625
129,37.2093,34.10853,28.682169
130,36.923077,34.615387,28.46154
131,36.641224,35.114502,28.244274
132,37.121212,34.848484,28.030304
133,36.842106,34.586464,28.57143
134,36.56716,35.074627,28.35821
135,36.296295,34.814816,28.88889
136,36.02941,35.294117,28.676472
137,36.49635,35.036495,28.467155
138,36.95652,34.782608,28.260868
139,37.410072,34.532375,28.057554
140,37.142857,34.285717,28.57143
141,37.588654,34.042553,28.368795
142,37.323944,33.802814,28.873238
143,37.762238,33.566433,28.671328
144,38.194447,33.333336,28.472221
